food_id,source_id,page_start,page_end,evidence_role,verification_status
F001,TTM-FOOD-001,7,7,primary,verified
F001,WORK-PARTNER-001,3,4,derived_note,review
F001,TTM-PRINCIPLE-001,6,6,principle,verified
F002,TTM-FOOD-001,7,7,primary,verified
F002,WORK-PARTNER-001,3,4,derived_note,review
F002,TTM-PRINCIPLE-001,6,6,principle,verified
F003,TTM-FOOD-001,7,7,primary,verified
F003,WORK-PARTNER-001,3,4,derived_note,review
F003,TTM-PRINCIPLE-001,6,6,principle,verified
F004,TTM-FOOD-001,7,7,primary,verified
F004,WORK-PARTNER-001,3,4,derived_note,review
F004,TTM-PRINCIPLE-001,6,6,principle,verified
F005,TTM-FOOD-001,7,7,primary,verified
F005,WORK-PARTNER-001,3,4,derived_note,review
F005,TTM-PRINCIPLE-001,6,6,principle,verified
F006,TTM-FOOD-001,7,7,primary,verified
F006,WORK-PARTNER-001,3,4,derived_note,review
F006,TTM-PRINCIPLE-001,6,6,principle,verified
F007,TTM-FOOD-001,7,7,primary,verified
F007,WORK-PARTNER-001,3,4,derived_note,review
F007,TTM-PRINCIPLE-001,6,6,principle,verified
F008,TTM-FOOD-001,7,7,primary,verified
F008,WORK-PARTNER-001,3,4,derived_note,review
F008,TTM-PRINCIPLE-001,6,6,principle,verified
F009,TTM-FOOD-001,7,7,primary,verified
F009,WORK-PARTNER-001,3,4,derived_note,review
F009,TTM-PRINCIPLE-001,6,6,principle,verified
F010,TTM-FOOD-001,7,7,primary,verified
F010,WORK-PARTNER-001,3,4,derived_note,review
F010,TTM-PRINCIPLE-001,6,6,principle,verified
F011,TTM-FOOD-001,7,7,primary,verified
F011,WORK-PARTNER-001,3,4,derived_note,review
F011,TTM-PRINCIPLE-001,6,6,principle,verified
F012,TTM-FOOD-001,7,7,primary,verified
F012,WORK-PARTNER-001,3,4,derived_note,review
F012,TTM-PRINCIPLE-001,6,6,principle,verified
F013,TTM-FOOD-001,7,7,primary,verified
F013,WORK-PARTNER-001,3,4,derived_note,review
F013,TTM-PRINCIPLE-001,6,6,principle,verified
F014,TTM-FOOD-001,7,7,primary,verified
F014,WORK-PARTNER-001,3,4,derived_note,review
F014,TTM-PRINCIPLE-001,6,6,principle,verified
F015,TTM-FOOD-001,7,7,primary,verified
F015,WORK-PARTNER-001,3,4,derived_note,review
F015,TTM-PRINCIPLE-001,6,6,principle,verified
F016,TTM-FOOD-001,7,7,primary,verified
F016,WORK-PARTNER-001,3,4,derived_note,review
F016,TTM-PRINCIPLE-001,6,6,principle,verified
F017,TTM-FOOD-001,7,7,primary,verified
F017,WORK-PARTNER-001,3,4,derived_note,review
F017,TTM-PRINCIPLE-001,6,6,principle,verified
F018,TTM-FOOD-001,7,7,primary,verified
F018,WORK-PARTNER-001,3,4,derived_note,review
F018,TTM-PRINCIPLE-001,6,6,principle,verified
F019,TTM-FOOD-001,7,7,primary,verified
F019,WORK-PARTNER-001,3,4,derived_note,review
F019,TTM-PRINCIPLE-001,6,6,principle,verified
F020,TTM-FOOD-001,7,7,primary,verified
F020,WORK-PARTNER-001,3,4,derived_note,review
