question_id,section,question_th,response_type,option_0,option_1,option_2,timeframe,is_scored,source_basis
Q001,birth,เดือนเกิดของคุณคือเดือนใด,month_select,,,,ข้อมูลพื้นฐาน,0,ใช้คำนวณธาตุเกิด: ม.ค.–มี.ค.=ไฟ; เม.ย.–มิ.ย.=ลม; ก.ค.–ก.ย.=น้ำ; ต.ค.–ธ.ค.=ดิน
Q002,body,รูปร่างโดยรวมของคุณค่อนข้างใหญ่ แน่น หรือมีโครงสร้างร่างกายแข็งแรง,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,รูปร่างและโครงสร้างเด่นของธาตุดิน
Q003,body,กระดูก ข้อต่อ กล้ามเนื้อ หรือเส้นเอ็นของคุณค่อนข้างแข็งแรงและมั่นคง,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความแข็งและความคงรูปของธาตุดิน
Q004,body,น้ำหนักตัวของคุณเพิ่มได้ง่ายและลดได้ค่อนข้างยาก,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความหนักแน่น; อาจสัมพันธ์กับน้ำร่วมด้วย
Q005,activity,คุณเคลื่อนไหวหรือทำกิจกรรมต่าง ๆ อย่างไม่รีบร้อน,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,การเคลื่อนไหวช้าแต่มั่นคง
Q006,energy,คุณมีความอดทน ทำงานต่อเนื่องได้นาน และพลังงานค่อนข้างสม่ำเสมอ,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความอดทนและความมั่นคง
Q007,personality,คุณชอบความเป็นระบบ ความแน่นอน และการวางแผนที่ชัดเจน,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,บุคลิกหนักแน่นและเป็นระบบ
Q008,personality,คุณตัดสินใจค่อนข้างช้า แต่เมื่อตัดสินใจแล้วมักไม่เปลี่ยนง่าย,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความคงที่และยึดมั่น
Q009,cognition,คุณอาจเรียนรู้ช้ากว่าบางคน แต่เมื่อเข้าใจแล้วมักจำได้นาน,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,การเรียนรู้มั่นคง
Q010,emotion,เมื่อเผชิญปัญหา คุณมักสงบ หนักแน่น และค่อย ๆ แก้ไข,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ช่วง 3 เดือนล่าสุด,1,การตอบสนองแบบมั่นคง
Q011,symptom,คุณรู้สึกหนักตัว แน่น อึดอัด หรือเคลื่อนไหวไม่คล่องเป็นประจำ,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,สัญญาณดินเด่นหรือเสียสมดุล
Q012,symptom,คุณมีอาการปวดตึง แข็ง หรือข้อและกล้ามเนื้อยืดหยุ่นน้อยเป็นประจำ,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,ความตึงและโครงสร้างกาย
Q013,digestion,คุณมีความรู้สึกแน่นท้องหรืออาหารย่อยช้า โดยเฉพาะหลังรับประทานอาหารมื้อใหญ่,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,ความหนักและการย่อยช้า
Q014,body,ผิวของคุณค่อนข้างนุ่ม ชุ่มชื้น หรือเย็นเมื่อสัมผัส,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความชุ่มชื้นและการหล่อเลี้ยง
Q015,body,ผมของคุณค่อนข้างดก หนา นุ่ม หรือเป็นเงางาม,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความชุ่มชื้นของเนื้อเยื่อ
Q016,body,ดวงตาหรือริมฝีปากของคุณมักดูชุ่มชื้นและนุ่มนวล,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ลักษณะชุ่มและนุ่ม
Q017,temperature,คุณไม่ค่อยชอบอากาศเย็นหรืออากาศชื้น เพราะทำให้รู้สึกเฉื่อยหรือไม่สบายตัว,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ธาตุน้ำสัมพันธ์กับเย็นและชื้น
Q018,digestion,คุณไม่ค่อยหิว ทนหิวได้นาน หรือรู้สึกว่าอาหารย่อยค่อนข้างช้า,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ช่วง 3 เดือนล่าสุด,1,การย่อยช้าและความหนักชื้น
Q019,sleep,คุณนอนหลับได้นาน หลับลึก และตื่นแล้วอาจยังรู้สึกง่วง,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ช่วง 3 เดือนล่าสุด,1,ความเฉื่อยและการพักผ่อนมาก
Q020,activity,คุณชอบทำกิจกรรมอย่างสงบ ไม่เร่งรีบ และไม่ชอบการเปลี่ยนแปลงบ่อย,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความนิ่งและการประสาน
Q021,emotion,คุณมีนิสัยอ่อนโยน ใจเย็น เห็นอกเห็นใจ และปรับตัวกับผู้อื่นได้ดี,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,บุคลิกนุ่มนวลของธาตุน้ำ
Q022,emotion,คุณผูกพันหรือยึดติดกับคน สิ่งของ หรือความทรงจำได้ง่าย,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความยึดติดและการเก็บสะสม
Q023,symptom,คุณมีเสมหะ น้ำมูก หรือความชื้นในทางเดินหายใจบ่อย,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,สัญญาณน้ำเด่นหรือเสียสมดุล
Q024,symptom,คุณบวมง่าย ตัวบวม หน้าบวม หรือรู้สึกว่าร่างกายกักเก็บน้ำ,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,การคั่งของของเหลว
Q025,symptom,คุณรู้สึกเฉื่อย ง่วง หรือหนักตัวง่าย โดยเฉพาะเมื่ออยู่ในอากาศชื้น,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,น้ำและความชื้นเด่น
Q026,body,รูปร่างของคุณค่อนข้างผอมบาง แห้ง หรือมีน้ำหนักขึ้นยาก,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความเบาและแห้งของธาตุลม
Q027,body,ผิว ผม เล็บ หรือริมฝีปากของคุณแห้ง หยาบ หรือแตกง่าย,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,คุณสมบัติแห้งของธาตุลม
Q028,temperature,คุณขี้หนาวและทนอากาศเย็นหรืออากาศแห้งไม่ค่อยได้,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ลมสัมพันธ์กับเย็นและแห้ง
Q029,digestion,ความหิวของคุณไม่แน่นอน บางมื้อหิวมาก บางมื้อไม่อยากอาหาร,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ช่วง 3 เดือนล่าสุด,1,การเปลี่ยนแปลงไม่แน่นอน
Q030,digestion,คุณมีอาการท้องอืด เรอ หรือมีลมในท้องบ่อย,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,ลมในทางเดินอาหาร
Q031,elimination,คุณขับถ่ายไม่สม่ำเสมอ อุจจาระแห้งแข็ง หรือท้องผูกง่าย,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,ความแห้งและการเคลื่อนผิดปกติ
Q032,sleep,คุณหลับยาก ตื่นง่าย ตื่นกลางดึก หรือเวลานอนไม่สม่ำเสมอ,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,การนอนไม่คงที่
Q033,activity,คุณเคลื่อนไหวเร็ว ชอบเปลี่ยนกิจกรรม หรือเดินทางบ่อย,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,การเคลื่อนไหวและเปลี่ยนแปลง
Q034,communication,คุณคิดเร็ว พูดเร็ว หรือพูดหลายเรื่องต่อเนื่องกัน,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความเร็วของความคิดและคำพูด
Q035,cognition,คุณเรียนรู้สิ่งใหม่ได้เร็ว แต่ลืมง่ายหรือมีสมาธิไม่ต่อเนื่อง,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,การรับรู้เร็วแต่ไม่คงที่
Q036,emotion,คุณวิตกกังวล คิดมาก ตื่นตกใจ หรือไม่มั่นใจได้ง่าย,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,อารมณ์ที่เปลี่ยนไว
Q037,symptom,คุณมีอาการเวียนศีรษะ ใจสั่น ชาปลายมือปลายเท้า หรืออาการเคลื่อนย้ายตำแหน่งไปมา,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,สัญญาณลมเด่นหรือเสียสมดุล
Q038,body,ร่างกายของคุณมักอุ่นหรือร้อนกว่าคนรอบข้าง,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความร้อนของธาตุไฟ
Q039,body,ผิวของคุณแดงง่าย ระคายเคืองง่าย เป็นผื่น หรือไวต่อแสงแดด,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความร้อนและการอักเสบ
Q040,temperature,คุณไม่ชอบอากาศร้อนและมักต้องการอยู่ในที่เย็น,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความไวต่อความร้อน
Q041,digestion,คุณหิวเร็ว หิวตรงเวลา และหงุดหงิดเมื่อรับประทานอาหารช้า,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ช่วง 3 เดือนล่าสุด,1,ไฟย่อยอาหารเด่น
Q042,digestion,คุณกระหายน้ำบ่อยหรือรู้สึกว่าต้องดื่มน้ำมากกว่าปกติ,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,ความร้อนและความกระหาย
Q043,elimination,คุณถ่ายค่อนข้างเร็ว ถ่ายบ่อย หรืออุจจาระนิ่มและเหลวง่าย,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,การย่อยและขับถ่ายเร็ว
Q044,sleep,คุณนอนประมาณ 6–8 ชั่วโมงและมักตื่นตามเวลาหรือเมื่อตื่นแล้วพร้อมทำงาน,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ช่วง 3 เดือนล่าสุด,1,พลังและความตื่นตัว
Q045,activity,คุณทำกิจกรรมอย่างมีเป้าหมาย ชอบการแข่งขัน และต้องการเห็นผลลัพธ์ชัดเจน,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,การมุ่งผลสำเร็จ
Q046,communication,คุณพูดชัด ตรงประเด็น กล้าแสดงความคิดเห็น หรือโน้มน้าวผู้อื่นได้ดี,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความคมชัดในการสื่อสาร
Q047,cognition,คุณวิเคราะห์ ตัดสินใจ หรือแก้ปัญหาได้รวดเร็ว,scale_0_2,ไม่ตรง,ปานกลาง,ตรงมาก,ลักษณะโดยทั่วไป,1,ความแหลมคมของกระบวนการคิด
Q048,emotion,คุณหงุดหงิด ใจร้อน หรือโกรธง่ายเมื่อสิ่งต่าง ๆ ไม่เป็นไปตามแผน,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,อารมณ์ร้อนของธาตุไฟ
Q049,symptom,คุณมีอาการร้อนใน แสบร้อน กรดไหลย้อน แผลในปาก หรือการอักเสบบ่อย,scale_0_2,ไม่เคย/แทบไม่,บางครั้ง,บ่อย,ช่วง 3 เดือนล่าสุด,1,สัญญาณไฟเด่นหรือเสียสมดุล
