question_id,earth_weight,water_weight,wind_weight,fire_weight,note
Q001,0,0,0,0,เดือนเกิดใช้กฎแยกต่างหาก
Q002,1.0,0,0,0,รูปร่างใหญ่ แข็งแรง
Q003,1.0,0,0,0,โครงสร้างแข็งแรง
Q004,0.8,0.2,0,0,น้ำหนักเพิ่มง่าย
Q005,1.0,0,0,0,เคลื่อนไหวช้า
Q006,1.0,0,0,0,อดทน
Q007,1.0,0,0,0,เป็นระบบ
Q008,1.0,0,0,0,ตัดสินใจมั่นคง
Q009,1.0,0,0,0,จำได้นาน
Q010,1.0,0,0,0,สุขุม
Q011,1.0,0.2,0,0,หนักตัว
Q012,1.0,0,0.1,0,ปวดตึง
Q013,0.8,0.2,0,0,ย่อยช้า
Q014,0,1.0,0,0,ผิวชุ่ม
Q015,0.1,0.9,0,0,ผมดก
Q016,0,1.0,0,0,ริมฝีปากชุ่ม
Q017,0,1.0,0,0,ไม่ชอบเย็นชื้น
Q018,0.2,0.8,0,0,หิวน้อย
Q019,0.1,0.9,0,0,นอนมาก
Q020,0.3,0.7,0,0,สงบ
Q021,0,1.0,0,0,อ่อนโยน
Q022,0.2,0.8,0,0,ยึดติด
Q023,0,1.0,0,0,เสมหะ
Q024,0.1,0.9,0,0,บวม
Q025,0.2,0.8,0,0,เฉื่อย
Q026,0,0,1.0,0,ผอมแห้ง
Q027,0,0,1.0,0,แห้ง
Q028,0,0.1,0.9,0,ขี้หนาว
Q029,0,0,1.0,0,หิวไม่แน่นอน
Q030,0,0,1.0,0,ท้องอืด
Q031,0.1,0,0.9,0,ท้องผูก
Q032,0,0,1.0,0,นอนไม่ดี
Q033,0,0,1.0,0,เคลื่อนไหวเร็ว
Q034,0,0,1.0,0,พูดเร็ว
Q035,0,0,1.0,0,ลืมง่าย
Q036,0,0,1.0,0,กังวล
Q037,0,0,1.0,0,เวียนหัว
Q038,0,0,0,1.0,ตัวร้อน
Q039,0,0,0,1.0,ผื่นแดง
Q040,0,0,0,1.0,ไม่ชอบร้อน
Q041,0,0,0,1.0,หิวเร็ว
Q042,0,0.1,0,0.9,กระหายน้ำ
Q043,0,0,0,1.0,ถ่ายเร็ว
Q044,0,0,0.1,0.9,ตื่นพร้อม
Q045,0,0,0,1.0,มุ่งผลลัพธ์
Q046,0,0,0,1.0,พูดตรง
Q047,0,0,0.1,0.9,คิดวิเคราะห์
Q048,0,0,0,1.0,ใจร้อน
Q049,0,0,0,1.0,ร้อนใน
Q050,0,0,0,0,คัดกรองอาการอันตราย
