food_id,food_name_th,category,category_th,recommended_element,recommended_element_th,taste_profile,recommendation_status,reason_th,source_document_primary,source_page_primary,source_document_secondary,source_page_secondary,principle_source,principle_page,data_note
F001,ผักกระโดน,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F002,กล้วยดิบ,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F003,กระถินไทย,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F004,สมอไทย,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F005,ยอดมะม่วงหิมพานต์,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F006,ยอดมะยม,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F007,กระโดนบก,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F008,กระโดนน้ำ,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F009,ผักหวาน,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F010,ขนุนอ่อน,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
